start: 1606827519.2226803
time : 1606827520.5053058 signal: [{(4, 7): 1}]
time : 1606827520.5098648 signal: [{(4, 7): 0}]
time : 1606827520.5142252 signal: [{(4, 7): 1}]
time : 1606827520.5186203 signal: [{(4, 7): 0}]
time : 1606827520.52308 signal: [{(4, 7): 1}]
time : 1606827520.5273824 signal: [{(4, 7): 0}]
time : 1606827520.531753 signal: [{(4, 7): 1}]
time : 1606827520.5361254 signal: [{(4, 7): 0}]
time : 1606827520.5404792 signal: [{(4, 7): 1}]
time : 1606827520.545152 signal: [{(4, 7): 0}]
time : 1606827520.5496542 signal: [{(4, 7): 1}]
time : 1606827520.5543008 signal: [{(4, 7): 0}]
time : 1606827520.5587213 signal: [{(4, 7): 1}]
time : 1606827520.56326 signal: [{(4, 7): 0}]
time : 1606827520.5678542 signal: [{(4, 7): 1}]
time : 1606827520.5721815 signal: [{(4, 7): 0}]
time : 1606827520.5765405 signal: [{(4, 7): 1}]
time : 1606827520.5811253 signal: [{(4, 7): 0}]
time : 1606827520.5856674 signal: [{(4, 7): 1}]
time : 1606827520.5901508 signal: [{(4, 7): 0}]
time : 1606827520.593581 signal: [{(4, 7): 1}]
time : 1606827520.5979292 signal: [{(4, 7): 0}]
time : 1606827520.602239 signal: [{(4, 7): 1}]
time : 1606827520.606615 signal: [{(4, 7): 0}]
time : 1606827520.6110406 signal: [{(4, 7): 1}]
time : 1606827520.6152873 signal: [{(4, 7): 0}]
time : 1606827520.6195304 signal: [{(4, 7): 1}]
time : 1606827520.623852 signal: [{(4, 7): 0}]
time : 1606827520.628203 signal: [{(4, 7): 1}]
time : 1606827520.6325302 signal: [{(4, 7): 0}]
time : 1606827520.6368654 signal: [{(4, 7): 1}]
time : 1606827520.6411467 signal: [{(4, 7): 0}]
time : 1606827520.6455443 signal: [{(4, 7): 1}]
time : 1606827520.6500301 signal: [{(4, 7): 0}]
time : 1606827520.6544225 signal: [{(4, 7): 1}]
time : 1606827520.658865 signal: [{(4, 7): 0}]
time : 1606827520.6632206 signal: [{(4, 7): 1}]
time : 1606827520.667608 signal: [{(4, 7): 0}]
time : 1606827520.6719518 signal: [{(4, 7): 1}]
time : 1606827520.6762912 signal: [{(4, 7): 0}]
time : 1606827520.680681 signal: [{(4, 7): 1}]
time : 1606827520.6852179 signal: [{(4, 7): 0}]
time : 1606827520.6898568 signal: [{(4, 7): 1}]
time : 1606827520.6942713 signal: [{(4, 7): 0}]
time : 1606827520.6997194 signal: [{(4, 7): 1}]
time : 1606827520.7040796 signal: [{(4, 7): 0}]
time : 1606827520.7084022 signal: [{(4, 7): 1}]
time : 1606827520.7128046 signal: [{(4, 7): 0}]
time : 1606827520.717124 signal: [{(4, 7): 1}]
time : 1606827520.7215347 signal: [{(4, 7): 0}]
time : 1606827520.726049 signal: [{(4, 7): 1}]
time : 1606827520.7304156 signal: [{(4, 7): 0}]
time : 1606827520.734831 signal: [{(4, 7): 1}]
time : 1606827520.7392142 signal: [{(4, 7): 0}]
time : 1606827520.743652 signal: [{(4, 7): 1}]
time : 1606827520.7481787 signal: [{(4, 7): 0}]
time : 1606827520.7526486 signal: [{(4, 7): 1}]
time : 1606827520.757226 signal: [{(4, 7): 0}]
time : 1606827520.761872 signal: [{(4, 7): 1}]
time : 1606827520.7662501 signal: [{(4, 7): 0}]
time : 1606827520.7706711 signal: [{(4, 7): 1}]
time : 1606827520.7751548 signal: [{(4, 7): 0}]
time : 1606827520.779469 signal: [{(4, 7): 1}]
time : 1606827520.7838993 signal: [{(4, 7): 0}]
time : 1606827520.788371 signal: [{(4, 7): 1}]
time : 1606827520.7929559 signal: [{(4, 7): 0}]
time : 1606827520.797559 signal: [{(4, 7): 1}]
time : 1606827520.8022249 signal: [{(4, 7): 0}]
time : 1606827520.8066735 signal: [{(4, 7): 1}]
time : 1606827520.8111475 signal: [{(4, 7): 0}]
time : 1606827520.8156033 signal: [{(4, 7): 1}]
time : 1606827520.8201888 signal: [{(4, 7): 0}]
time : 1606827520.8247678 signal: [{(4, 7): 1}]
time : 1606827520.829203 signal: [{(4, 7): 0}]
time : 1606827520.8336887 signal: [{(4, 7): 1}]
time : 1606827520.838392 signal: [{(4, 7): 0}]
time : 1606827520.842841 signal: [{(4, 7): 1}]
time : 1606827520.847236 signal: [{(4, 7): 0}]
time : 1606827520.851662 signal: [{(4, 7): 1}]
time : 1606827520.8561542 signal: [{(4, 7): 0}]
time : 1606827520.8605845 signal: [{(4, 7): 1}]
time : 1606827520.8653247 signal: [{(4, 7): 0}]
time : 1606827520.8698277 signal: [{(4, 7): 1}]
time : 1606827520.8742123 signal: [{(4, 7): 0}]
time : 1606827520.8776243 signal: [{(4, 7): 1}]
time : 1606827520.882048 signal: [{(4, 7): 0}]
time : 1606827520.8864403 signal: [{(4, 7): 1}]
time : 1606827520.890894 signal: [{(4, 7): 0}]
time : 1606827520.8952003 signal: [{(4, 7): 1}]
time : 1606827520.8995593 signal: [{(4, 7): 0}]
time : 1606827520.903937 signal: [{(4, 7): 1}]
time : 1606827520.9082136 signal: [{(4, 7): 0}]
time : 1606827520.9127655 signal: [{(4, 7): 1}]
time : 1606827520.9172835 signal: [{(4, 7): 0}]
time : 1606827520.9218745 signal: [{(4, 7): 1}]
time : 1606827520.9262476 signal: [{(4, 7): 0}]
time : 1606827520.9306602 signal: [{(4, 7): 1}]
time : 1606827520.9351277 signal: [{(4, 7): 0}]
time : 1606827520.9395902 signal: [{(4, 7): 1}]
time : 1606827520.9440243 signal: [{(4, 7): 0}]
time : 1606827520.9485013 signal: [{(4, 7): 1}]
time : 1606827520.9529355 signal: [{(4, 7): 0}]
time : 1606827520.9573336 signal: [{(4, 7): 1}]
time : 1606827520.961768 signal: [{(4, 7): 0}]
time : 1606827520.9661355 signal: [{(4, 7): 1}]
time : 1606827520.9705577 signal: [{(4, 7): 0}]
time : 1606827520.9748971 signal: [{(4, 7): 1}]
time : 1606827520.9803045 signal: [{(4, 7): 0}]
time : 1606827520.9846613 signal: [{(4, 7): 1}]
time : 1606827520.9892929 signal: [{(4, 7): 0}]
time : 1606827520.9938862 signal: [{(4, 7): 1}]
time : 1606827520.9982681 signal: [{(4, 7): 0}]
time : 1606827521.0026531 signal: [{(4, 7): 1}]
time : 1606827521.007136 signal: [{(4, 7): 0}]
time : 1606827521.011512 signal: [{(4, 7): 1}]
time : 1606827521.0159905 signal: [{(4, 7): 0}]
time : 1606827521.0203736 signal: [{(4, 7): 1}]
time : 1606827521.024769 signal: [{(4, 7): 0}]
time : 1606827521.029256 signal: [{(4, 7): 1}]
time : 1606827521.033718 signal: [{(4, 7): 0}]
time : 1606827521.038303 signal: [{(4, 7): 1}]
time : 1606827521.0427706 signal: [{(4, 7): 0}]
time : 1606827521.047392 signal: [{(4, 7): 1}]
time : 1606827521.0518284 signal: [{(4, 7): 0}]
time : 1606827521.0561733 signal: [{(4, 7): 1}]
time : 1606827521.0605156 signal: [{(4, 7): 0}]
time : 1606827521.0648623 signal: [{(4, 7): 1}]
time : 1606827521.0692809 signal: [{(4, 7): 0}]
time : 1606827521.0738854 signal: [{(4, 7): 1}]
time : 1606827521.0782723 signal: [{(4, 7): 0}]
time : 1606827521.0827 signal: [{(4, 7): 1}]
time : 1606827521.0871234 signal: [{(4, 7): 0}]
time : 1606827521.0916064 signal: [{(4, 7): 1}]
time : 1606827521.096166 signal: [{(4, 7): 0}]
time : 1606827521.1006954 signal: [{(4, 7): 1}]
time : 1606827521.1050785 signal: [{(4, 7): 0}]
time : 1606827521.1096625 signal: [{(4, 7): 1}]
time : 1606827521.1143186 signal: [{(4, 7): 0}]
time : 1606827521.118791 signal: [{(4, 7): 1}]
time : 1606827521.123288 signal: [{(4, 7): 0}]
time : 1606827521.1279988 signal: [{(4, 7): 1}]
time : 1606827521.1324265 signal: [{(4, 7): 0}]
time : 1606827521.1369383 signal: [{(4, 7): 1}]
time : 1606827521.1415017 signal: [{(4, 7): 0}]
time : 1606827521.1460426 signal: [{(4, 7): 1}]
time : 1606827521.1504183 signal: [{(4, 7): 0}]
time : 1606827521.1548066 signal: [{(4, 7): 1}]
time : 1606827521.1592016 signal: [{(4, 7): 0}]
time : 1606827521.162547 signal: [{(4, 7): 1}]
time : 1606827521.1670296 signal: [{(4, 7): 0}]
time : 1606827521.1714344 signal: [{(4, 7): 1}]
